danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0.865,0.792,4,-4.207,1,0.0677,0.168,1.46e-05,0.107,0.562,101.985,189496
0.414,0.249,1,-12.674,1,0.0369,0.894,8.37e-06,0.188,0.341,142.442,163360
0.717,0.907,4,-4.457,0,0.0389,0.035,0.00696,0.594,0.401,107.051,232693
0.529,0.458,3,-10.108,0,0.0299,0.507,1.98e-06,0.237,0.718,69.334,193667
0.727,0.605,10,-8.303,0,0.0711,0.00781,0.83,0.224,0.687,181.539,341200
0.269,0.551,10,-8.456,0,0.0274,0.0307,0.000619,0.118,0.202,144.408,374333
0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,167693
0.549,0.233,6,-15.905,1,0.0261,0.778,0.0,0.195,0.211,95.527,145274
0.79,0.588,6,-9.13,1,0.275,0.131,1.09e-05,0.341,0.675,87.983,261160
0.634,0.556,11,-4.613,0,0.0432,0.424,0.0,0.119,0.305,133.942,249000
